Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,212.000000,213.600006,209.169998,210.199997,210.199997,714300
2019-07-02,210.750000,212.500000,209.000000,212.460007,212.460007,711100
2019-07-03,211.830002,220.869995,211.240005,220.850006,220.850006,1352100
2019-07-04,222.619995,224.000000,221.100006,221.100006,221.100006,1134900
2019-07-05,222.000000,228.169998,220.460007,226.080002,226.080002,984400
2019-07-08,226.089996,231.199997,225.199997,229.399994,229.399994,942800
2019-07-10,231.250000,235.889999,231.250000,233.500000,233.500000,1119200
2019-07-11,235.800003,235.800003,229.149994,230.770004,230.770004,1078700
2019-07-12,235.000000,240.360001,232.000000,232.050003,232.050003,1930500
2019-07-15,235.000000,235.389999,230.029999,230.649994,230.649994,936300
2019-07-16,231.850006,234.190002,231.449997,234.000000,234.000000,697300
2019-07-17,237.100006,250.940002,237.100006,244.389999,244.389999,2615300
2019-07-18,247.509995,250.449997,245.110001,247.000000,247.000000,1245600
2019-07-19,249.000000,249.399994,238.050003,238.050003,238.050003,1514000
2019-07-22,241.000000,247.470001,239.000000,247.350006,247.350006,1497300
2019-07-23,249.020004,249.580002,241.350006,242.000000,242.000000,1137100
2019-07-24,243.000000,249.100006,243.000000,245.809998,245.809998,868100
2019-07-25,247.699997,248.259995,242.130005,244.479996,244.479996,1122800
2019-07-26,246.220001,253.800003,244.899994,252.000000,252.000000,1183900
2019-07-29,252.000000,264.440002,250.649994,263.799988,263.799988,1445300
